estacion,tendencia_m_año,r2,p_valor,n_mediciones,nivel_medio,rango_m,año_inicio,año_fin,x,y,masa_agua
QLSub - Pou Ramon_Vilardell,1.3634763749828578,0.7932183421669144,0.0005475599906425223,10.0,165.667,5.659999999999997,2023.0,2026.0,492898.83,4693858.35,Conca alta de la Muga
QLSub - Pou Rastre I -  Ajuntament De Tortosa,0.038935974281677194,0.003572008678173879,0.6032137852555457,78.0,4.478589743589744,5.610000000000001,2000.0,2006.0,292053.0,4521080.0,Cardó - Vandellòs
QLSub - Pou Reg Tros Gran,-0.09447673667104875,0.03136870991942701,0.5446953524916656,14.0,286.0464285714286,10.089999999999975,2008.0,2026.0,337879.11,4617660.91,Al·luvial d'Urgell
QLSub - Pou Riu (Pou 3 Càmpings La Tordera + Les Nacions  (B-4-A)),0.0037891831512418023,0.006531111781593944,0.3802382860057194,120.0,-0.6095,2.4000000000000004,2000.0,2024.0,481283.0,4611297.0,Al·luvials de la baixa i delta de la Tordera
QLSub - Pou Riu Fluvià / Municipal,0.027925270802073153,0.04443840913246536,0.53381426154821,11.0,11.834545454545456,1.549999999999999,2014.0,2026.0,499406.65,4668345.26,Fluviodeltaic del Fluvià - Muga
QLSub - Pou Rodó,-0.23487013452150865,0.6613079135429509,0.0023342116597249705,11.0,680.8863636363635,3.1200000000000045,2015.0,2025.0,374129.13,4690941.25,Alt Urgell
QLSub - Pou Roger (Antic Can Solà_1),-0.015288671255451013,0.009190031330934914,0.779183582256372,11.0,-0.05163636363636363,2.2,2011.0,2025.0,481044.0,4612397.0,Al·luvials de la baixa i delta de la Tordera
QLSub - Pou Sant Jordi - Bosc Nou (Ajuntament De L'Ametlla De Mar),0.3099283620172546,0.05536549950256854,0.06339877667163295,63.0,2.5558730158730163,11.58,2018.0,2026.0,314408.0,4533676.0,l'Ametlla de Mar- Perelló
QLSub - Pou Sant Josep 1 - Ajmt Llinars Del Vallès,-0.10570668081580069,0.26118309815797475,0.015068037017953506,22.0,159.0845454545455,6.02000000000001,2005.0,2025.0,447565.11,4608190.56,Al·luvials del Vallès
QLSub - Pou Santa Agnès (Sorea) - Ajmt La Roca Del Vallès,0.021091542997438647,0.023480296472839144,0.585602371509844,15.0,133.64143333333334,4.0,2007.0,2026.0,445649.09,4606209.57,Al·luvials del Vallès
QLSub - Pou Santa Coloma Industrial-1 Sgab,0.1540207928592719,0.5332483992117962,1.3362719625198575e-31,182.0,8.053791208791209,5.39,2000.0,2019.0,433589.44,4588790.24,Baix Besòs i Pla de Barcelona
QLSub - Pou Sat Camp Verd,-2.342113337273979,0.03805558744632747,0.22770498819192514,40.0,102.72475,96.23,2008.0,2012.0,307059.0,4560329.5,Fossa de Móra
"QLSub - Pou Segrià V.O., Sl",-0.05362316645473968,0.05460312215032849,0.489225614940867,11.0,269.72,2.8700000000000045,2014.0,2025.0,299961.0,4620406.0,N/D - Subterrània
QLSub - Pou Sgab Santa Coloma Regants,0.13137585057919463,0.36640898509940395,1.3944505388304411e-27,262.0,13.094312977099237,5.5,2008.0,2019.0,432721.95,4589834.65,Baix Besòs i Pla de Barcelona
QLSub - Pou Sifons Ii -  Ajmt L'Escala,0.0395589151187395,0.006615126257422225,0.823255408193772,10.0,1.274,5.779999999999999,2012.0,2025.0,508737.0,4661555.0,Fluviodeltaic del Baix Ter
QLSub - Pou Sondeig Mas La Corda (Reg),0.06709454706304423,0.01926604701935686,0.30314530574781756,57.0,465.15614035087714,3.1999999999999886,2008.0,2013.0,453412.0,4670806.0,Fluviovolcànic de la Garrotxa
